session_id,source_group,arc_cluster,returned
Human_Astro::conversation_3129759_3821.csv::s21,baseline_returned,1,True
Human_Astro::conversation_3129759_3821.csv::s3,baseline_returned,1,True
Human_Astro::conversation_3129759_3821.csv::s4,baseline_returned,1,True
Human_Astro::conversation_3129759_3821.csv::s5,baseline_returned,1,True
Human_Astro::conversation_3129759_3821.csv::s6,baseline_returned,1,True
Human_Astro::conversation_3129759_3821.csv::s7,baseline_returned,1,True
Human_Astro::conversation_3129759_3821.csv::s8,baseline_returned,1,True
Human_Astro::conversation_3129759_3821.csv::s9,baseline_returned,1,True
Human_Astro::conversation_3137279_2041.csv::s1,baseline_returned,3,True
Human_Astro::conversation_3137279_2041.csv::s10,baseline_returned,1,True
Human_Astro::conversation_3137279_2041.csv::s2,baseline_returned,1,True
Human_Astro::conversation_3137279_2041.csv::s4,baseline_returned,0,True
Human_Astro::conversation_3137279_2041.csv::s5,baseline_returned,1,True
Human_Astro::conversation_3137279_2041.csv::s6,baseline_returned,0,True
Human_Astro::conversation_3137279_2041.csv::s7,baseline_returned,3,True
Human_Astro::conversation_3137279_2041.csv::s8,baseline_returned,3,True
Human_Astro::conversation_3137279_2041.csv::s9,baseline_returned,1,True
Human_Astro::conversation_3141140_670.csv::s1,baseline_returned,1,True
Human_Astro::conversation_3141140_670.csv::s10,baseline_returned,3,True
Human_Astro::conversation_3141140_670.csv::s11,baseline_returned,2,True
Human_Astro::conversation_3141140_670.csv::s12,baseline_returned,0,True
Human_Astro::conversation_3141140_670.csv::s13,baseline_returned,2,True
Human_Astro::conversation_3141140_670.csv::s14,baseline_returned,1,True
Human_Astro::conversation_3141140_670.csv::s2,baseline_returned,1,True
Human_Astro::conversation_3141140_670.csv::s3,baseline_returned,1,True
Human_Astro::conversation_3141140_670.csv::s4,baseline_returned,3,True
Human_Astro::conversation_3141140_670.csv::s5,baseline_returned,0,True
Human_Astro::conversation_3141140_670.csv::s6,baseline_returned,2,True
Human_Astro::conversation_3141140_670.csv::s7,baseline_returned,1,True
Human_Astro::conversation_3141140_670.csv::s8,baseline_returned,1,True
Human_Astro::conversation_3141140_670.csv::s9,baseline_returned,3,True
Human_Astro::conversation_3165061_2487.csv::s1,baseline_returned,2,True
Human_Astro::conversation_3165061_2487.csv::s10,baseline_returned,3,True
Human_Astro::conversation_3165061_2487.csv::s11,baseline_returned,1,True
